hand,players_9,players_2,players_6
AAo,35%,85%,50%
AKs,24%,68%,32%
AQs,22%,67%,31%
AJs,21%,66%,29%
ATs,21%,66%,28%
A9s,18%,64%,26%
A8s,18%,63%,25%
A7s,17%,63%,24%
A6s,17%,62%,24%
Aso,18%,62%,24%
A4s,17%,61%,24%
A3s,17%,60%,23%
A2s,16%,59%,22%
KAo,20%,66%,29%
KKo,29%,83%,43%
KQs,22%,64%,29%
KJs,21%,64%,28%
KTs,20%,63%,27%
K9s,18%,61%,25%
K8s,16%,60%,23%
K7s,16%,59%,22%
K6s,16%,59%,22%
K5s,15%,58%,21%
K4s,15%,57%,21%
K3s,15%,56%,20%
K2s,14%,55%,20%
QAo,19%,65%,27%
QKo,18%,62%,26%
QQo,25%,80%,38%
QJs,20%,62%,28%
QTs,20%,61%,27%
Q9s,17%,59%,24%
Q8s,16%,58%,22%
Q7s,15%,56%,21%
Q6s,14%,55%,20%
Q5s,14%,55%,20%
Q4s,14%,54%,19%
Q3s,14%,53%,19%
Q2s,13%,52%,18%
JAo,18%,65%,26%
JKo,17%,62%,25%
JQo,17%,59%,24%
JJo,22%,78%,34%
JTs,20%,59%,26%
J9s,17%,57%,24%
J8s,16%,56%,22%
J7s,15%,54%,20%
J6s,14%,53%,19%
J5s,13%,52%,19%
J4s,13%,51%,18%
J3s,13%,50%,18%
J2s,12%,50%,17%
TAo,17%,64%,25%
TKo,16%,61%,24%
TQo,16%,59%,23%
TJo,16%,57%,23%
TTo,20%,75%,30%
T9s,18%,56%,24%
T8s,16%,54%,22%
T7s,15%,53%,20%
T6s,14%,51%,19%
T5s,13%,50%,18%
T4s,12%,49%,17%
T3s,12%,48%,17%
T2s,12%,47%,16%
9Ao,14%,62%,22%
9Ko,14%,59%,21%
9Qo,14%,57%,20%
9Jo,14%,55%,20%
9To,14%,53%,20%
99o,18%,72%,27%
98s,16%,53%,22%
97s,15%,51%,20%
96s,14%,50%,19%
95s,13%,48%,17%
94s,12%,46%,16%
93s,11%,46%,16%
92s,11%,45%,15%
8Ao,14%,61%,21%
8Ko,12%,58%,19%
8Qo,12%,55%,18%
8Jo,12%,53%,18%
8To,13%,52%,18%
89o,12%,50%,18%
88o,16%,70%,24%
87s,15%,50%,20%
86s,14%,49%,19%
85s,13%,47%,18%
84s,12%,45%,16%
83s,11%,43%,15%
82s,11%,43%,15%
7Ao,13%,61%,20%
7Ko,12%,57%,18%
7Qo,11%,54%,17%
7Jo,11%,52%,16%
7To,11%,50%,17%
79o,11%,49%,17%
78o,12%,47%,17%
77o,15%,67%,22%
76s,14%,48%,19%
75s,14%,46%,18%
74s,12%,45%,17%
73s,11%,43%,15%
72s,10%,41%,14%
6Ao,13%,60%,19%
6Ko,11%,56%,18%
6Qo,10%,53%,16%
6Jo,10%,50%,15%
6To,10%,48%,15%
69o,10%,47%,15%
68o,11%,46%,15%
67o,11%,45%,16%
66o,15%,64%,21%
65s,14%,46%,18%
64s,13%,44%,17%
63s,12%,42%,16%
62s,11%,40%,14%
5Ao,13%,60%,20%
5Ko,11%,55%,17%
5Qo,10%,52%,16%
5Jo,9%,49%,15%
5To,9%,47%,14%
59o,9%,45%,14%
58o,9%,44%,14%
57o,10%,43%,14%
56o,11%,43%,15%
55o,14%,61%,19%
54s,14%,44%,18%
53s,13%,43%,17%
52s,12%,41%,15%
4Ao,13%,59%,20%
4Ko,11%,54%,17%
4Qo,10%,51%,15%
4Jo,9%,49%,14%
4To,9%,46%,13%
49o,8%,43%,12%
48o,8%,42%,12%
47o,8%,41%,13%
46o,11%,41%,13%
45o,10%,41%,14%
44o,13%,58%,18%
43s,12%,41%,16%
42s,11%,40%,15%
3Ao,13%,58%,19%
3Ko,10%,54%,16%
3Qo,9%,50%,15%
3Jo,9%,48%,13%
3To,8%,45%,13%
39o,7%,43%,12%
38o,7%,40%,11%
37o,6%,39%,11%
36o,5%,36%,12%
35o,4%,39%,12%
34o,3%,12%,12%
33o,13%,55%,17%
32s,11%,50%,14%
2Ao,12%,57%,18%
2Ko,10%,53%,15%
2Qo,9%,50%,14%
2Jo,8%,47%,13%
2To,8%,44%,12%
29o,7%,42%,11%
28o,6%,40%,10%
27o,5%,7%,10%
26o,4%,26%,10%
25o,3%,24%,10%
24o,2%,23%,10%
23o,7%,35%,10%
22o,13%,51%,16%